fmaxi,fmaxoutzbar,fmaxoutN
0.1,91.78161331,1000
0.2,91.91378303,1000
0.3,92.03406142,1000
0.4,92.14186051,1000
0.5,92.23628307,1000
0.6,92.31604278,1000
0.7,92.37934922,1000
0.8,92.42374733,1000
0.9,92.44589601,1000
1,92.44126229,1000
1.1,92.40369341,1000
1.2,92.32480682,1000
1.3,92.19310623,1000
1.4,91.99269769,1000
1.5,91.70148096,1000
1.6,91.2888625,1000
1.7,90.71375515,1000
1.8,89.92567669,1000
1.9,88.87553419,1000
2,87.54328334,1000
2.1,85.968887,1000.000008
2.2,84.22218604,1000.000716
2.3,82.23889405,1000.05125
2.4,79.41284866,1002.781448
2.5,71.60371597,1085.088837
2.6,53.22992597,1374.854085
2.7,37.67137751,1639.578906
2.8,25.24501347,1895.116322
2.9,14.77868453,2150.36576
3,5.847104988,2400.156145
3.1,1.560652078,2470.664481
3.2,1.091705083,3173.496761
3.3,1.091705083,0
3.4,1.091705083,0
3.5,1.091705083,0
3.6,1.091705083,0
3.7,1.091705083,0
3.8,1.091705083,0
3.9,1.091705083,0
4,1.091705083,0
4.1,1.091705083,0
4.2,1.091705083,0
4.3,1.091705083,0
4.4,1.091705083,0
4.5,1.091705083,0
4.6,1.091705083,0
4.7,1.091705083,0
